,buyer,valuebought,seller
0,0xf8618a3140b07fd96fd139f928a567be0b2caa15,1.6,0x25cbcfa16e43e58517f80d583087ea89241293e6
1,0x808a2adbd0a3fc679e3f7cd18d4f579bfcaaec9c,1.1,0x25cbcfa16e43e58517f80d583087ea89241293e6
2,0x5507dbd48a5a5bace8a6030e878cc4e0af147c33,0.001,0x942cbea64876ff0b2e23c0712b37dc0091804e9c
3,0xff37a713c920f6e94043d10c1230e30b13f4d500,0.002,0x942cbea64876ff0b2e23c0712b37dc0091804e9c
4,0xcc65fa278b917042822538c44ba10ad646824026,0.003,0x942cbea64876ff0b2e23c0712b37dc0091804e9c
5,0x942cbea64876ff0b2e23c0712b37dc0091804e9c,0.004,0x942cbea64876ff0b2e23c0712b37dc0091804e9c
6,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1.15,0x25cbcfa16e43e58517f80d583087ea89241293e6
7,0xcb42ac441fcade3935243ea118701f39aa004486,1.8,0x25cbcfa16e43e58517f80d583087ea89241293e6
8,0xa8a33539960ef4779cb0eceded8002c1ecd40582,1.2,0x25cbcfa16e43e58517f80d583087ea89241293e6
9,0x475566f2b32f98a8fb8ddfaf184dc522d0701f72,2,0x25cbcfa16e43e58517f80d583087ea89241293e6
10,0xafd9ea5cea243eea8d8fdb7fe74b27f0e53a0be0,1.25,0x25cbcfa16e43e58517f80d583087ea89241293e6
11,0x04bfb0034f24e424489f566f32d1f57647469f9e,1.3,0x25cbcfa16e43e58517f80d583087ea89241293e6
12,0xa078f3c6df93c0e1ccf012bca1d94fce9d157aa4,2.2,0x25cbcfa16e43e58517f80d583087ea89241293e6
13,0xd9c4475e2dd89a9a0ad0c1e9a1e1bb28df7ba298,2.4,0x25cbcfa16e43e58517f80d583087ea89241293e6
14,0xc2f82a1f287b5b5aebff7c19e83e0a16cf3bd041,2.6,0x25cbcfa16e43e58517f80d583087ea89241293e6
15,0x5507dbd48a5a5bace8a6030e878cc4e0af147c33,0.2,0x25cbcfa16e43e58517f80d583087ea89241293e6
16,0x5289156f8b0876e7576fe960e39a3e84c90d821f,1.35,0x25cbcfa16e43e58517f80d583087ea89241293e6
17,0xff37a713c920f6e94043d10c1230e30b13f4d500,0.05,0x25cbcfa16e43e58517f80d583087ea89241293e6
18,0x6e4715475b6c2876778f7df80a15873ac43a7306,2.8,0x25cbcfa16e43e58517f80d583087ea89241293e6
19,0x942cbea64876ff0b2e23c0712b37dc0091804e9c,0.1,0x25cbcfa16e43e58517f80d583087ea89241293e6
20,0xcc65fa278b917042822538c44ba10ad646824026,0.15,0x25cbcfa16e43e58517f80d583087ea89241293e6
21,0xe5be77e6e9cfcae7f24dbf9a20f0fb24ef5b555c,1.4,0x25cbcfa16e43e58517f80d583087ea89241293e6
22,0xcc01092e421687390604e101524f60694079b3a1,1.45,0x25cbcfa16e43e58517f80d583087ea89241293e6
23,0xea0ef6c6bacea7675f2adeff2a59373fbaa04697,0.4,0x25cbcfa16e43e58517f80d583087ea89241293e6
24,0x682c23025534a089f51123e2773cd2d1811fbb52,0.2,0x25cbcfa16e43e58517f80d583087ea89241293e6
25,0x9ba0022ec84e92dceac90d0a22e3a857ba37bfe6,1.5,0x25cbcfa16e43e58517f80d583087ea89241293e6
26,0xb683a2056526162c4771d363204af41ea8c1ec52,0.25,0x25cbcfa16e43e58517f80d583087ea89241293e6
27,0xb0623c91c65621df716ab8afe5f66656b21a9108,0.3,0x25cbcfa16e43e58517f80d583087ea89241293e6
28,0x70305cd3d6639504f593f00668d7e5b3cfd6cee2,1.55,0x25cbcfa16e43e58517f80d583087ea89241293e6
