source,target,CF_contribution
0x00000003cd3aa7e760877f03275621d2692f5841,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x0040daac32d83c78546ae36da42a496b28ab09e1,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.1
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x008c84421da5527f462886cec43d2717b686a7e4,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.69
0x0094cfba72efcafe4d45c257a713414b9502a348,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,6.01
0x00c62fb0ed991c19edffedf58136f42d188c3cf2,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.02
0x00ff6b7d26407a46af2b631b4fa452a036d027e5,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.01
0x010d54e939da0e3784c590f119fcf6422b37df33,0xadbd9aeda5633448e8b4953b4376c9514075abf4,0.25
0x01154a19dc8cb144189bbb21513468849c838356,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.205
0x011a991df27fb53637b7319d3a43e91b5da5b4e8,0x3b3525f60eeea4a1ef554df5425912c2a532875d,0.02
0x01228d70a0980d85a103d9a753707104757f69bc,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.1
0x0154d25120ed20a516fe43991702e7463c5a6f6e,0xc57c5ae582708e619ec1ba7513480b2e7540935f,1.01
0x0154d25120ed20a516fe43991702e7463c5a6f6e,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x016c8780e5ccb32e5caa342a926794ce64d9c364,0x3527a204a5260a0e36ca695312379370328e4e6c,1.0
0x01a1a79e83e26a9de566f65a1acdf02dec449d26,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x01a1a79e83e26a9de566f65a1acdf02dec449d26,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.1
0x01ad5b49849220e1e2ba7ed511e0f59efc47eb78,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.255
0x01c9ea664b6d06bc4609cec8e75dd600221e1c36,0xc46e9a66fddc8d1a69529d86e668236f02957f1b,0.1
0x01eacadf51ff60916157e32a58f640fe854e530f,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x01ebb058f926f9ecedc096fbb82e19305868b95f,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x02079daf95770a42f1c9da79a09428918b1bd489,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,25.0
0x02347ae1abf2e0cd763a592842aa5d6548ca0b3d,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.20001
0x024f36b02608a5129c61f8df54dc7286f9113dee,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.01
0x0251a655c2193b1d1435019dc833cfd8b2adff71,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x0251a655c2193b1d1435019dc833cfd8b2adff71,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.05
