source,target,ED_purchaseValue
0x000cbf0bec88214aab15bc1fa40d3c30b3ca97a9,0x2920a3192613d8c42f21b64873dc0ddfcbf018d4,0.01
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0xabaf40768e575beb3244df2853a0505cb2d2e4bb,0.01
0x00645dd21310882cc32399abcb54e0a05b3b5d1d,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x0067eec7ad35e72613d760e917890d1b7e876e4e,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.4677
0x008c84421da5527f462886cec43d2717b686a7e4,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x008c84421da5527f462886cec43d2717b686a7e4,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.01
0x00d29fbc981d05edba69bc0909e391a132271357,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x00eac8989b2dd513d61ad1faa277da3ad1f5bd2c,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,0.01
0x00eac8989b2dd513d61ad1faa277da3ad1f5bd2c,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.11
0x00f5fcb6ba6fc28e95ab9572f432d452292b66f4,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x010af29077a8520cc3f55be2031d7e37808ba137,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.5
0x0154d25120ed20a516fe43991702e7463c5a6f6e,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x0154d25120ed20a516fe43991702e7463c5a6f6e,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.060000000000000005
0x0159dfc1c745dc4b10d42d2592335120f1f2d778,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x0165dcff922f372e3ef7f0d0c0816ae79a4dbcca,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.01
0x016c8780e5ccb32e5caa342a926794ce64d9c364,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597,0.005
0x019201bcd96f1b07f8f7fc6c22c36db3d95393b5,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x01b2f8877f3e8f366ef4d4f48230949123733897,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x01bd8aac958c6e728557bcac756273ddd65bf19c,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x020eb226e93362d1304bc97a3dd07231b1cdf097,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x024f36b02608a5129c61f8df54dc7286f9113dee,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x0251a655c2193b1d1435019dc833cfd8b2adff71,0x2920a3192613d8c42f21b64873dc0ddfcbf018d4,0.01
0x0291eb432cb4a2613a7415018933e3db45bcd769,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.060000000000000005
0x02a298c6b33b6505e15faacf4f52ffcf1c43d4b7,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x02be804f3f2ce77bc981c544373d11a0668b6a31,0xabaf40768e575beb3244df2853a0505cb2d2e4bb,0.15
0x02c7dc6c1ec30aa6f198ab20187d003fc5dd80ae,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x0305f6a87b47de3c43578caf01de98a81357eba6,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.05
0x038db6c62d0f072616e2b8db7d3d7cfc829f7f65,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x038db6c62d0f072616e2b8db7d3d7cfc829f7f65,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.11
0x03942174b8e362d168e5c26d9b4339ab36d970b0,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.01
0x039ec1b97bedc88ee508620cb7013e7c2ee21f31,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x03a80ccbffe64035ebbcc9b89e2b4052d1761839,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.08
0x03c2f913cc7116f9f2b984db11761351dfe528c3,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.05
0x03d15ec11110dda27df907e12e7ac996841d95e4,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x0405b6fe11f41ea3f28cbba3fd3015be402bfba9,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x04340d792225818aa35dc0442bef137075412895,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.3118
0x049808d5eaa90a2665b9703d2246dded34f1eb73,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.1
0x04b6867a08e81f2378959ba4b4f41eb086acaa74,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.13
0x04bfb0034f24e424489f566f32d1f57647469f9e,0x25cbcfa16e43e58517f80d583087ea89241293e6,0.05
0x04bfb0034f24e424489f566f32d1f57647469f9e,0x7fdca0a469ea8b50b92322afc0215b67d56a5e9a,0.01
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.01
0x04d90eb62e87d3b3ab90105cd06759a632378c1a,0x320562f05baeeed8aa76a0110008bf0c8c156a8f,0.1
0x04dcf5f5991f575aac67f2068a1392385a3080cb,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x050ac21c63ee3edddbe27bdaa7a87b0c9f5fd75b,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.01
0x050ee024a0ffd8b9bd383271835b27dd66c3fec3,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x05211b706bce6a569d556faa5821237464f33001,0x7721f140c2968d5c639a9b40a1e6ca48a9b7c41d,0.01
0x05258e865f382b33e3d45bcd0fef58458611bda9,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x05258e865f382b33e3d45bcd0fef58458611bda9,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.060000000000000005
0x056d6b0c371a05d309915fb746b7ad7bcf470135,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x05758991abfde0a2f4404f2fe903116444369025,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.95
0x0614e07756390441cb246c886917487840e74f7d,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.09
0x06192f889f17bf2aff238d08d8c26cbcfcc7b45a,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x062aeab2218c3ba8ba3331e8683808cb649369fd,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x063b6f85322d4783de7e3009fa3af2c3d970fe45,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x0653f05d22e5fe46f15639616e3bfd51c9060214,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597,0.005
0x065a09a6fa96fed27defec9099b00e3e9af99c10,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.01
0x06601571aa9d3e8f5f7cdd5b993192618964bab5,0x7dbf85de9ee45327c243bf74f1e85309cab12441,1.4031
0x067562811bd8ec73087f427e23b92bdc1984c80f,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x067d3e5459fa588aa5a5001fc9608b314e7e4a01,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x069ba44bfe4584ecf7e5c2346e2cbdc916bf30ac,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x06ac1f9f86520225b73efce4982c9d9505753251,0x03942174b8e362d168e5c26d9b4339ab36d970b0,0.1
0x0764dc400c280ff2b6d1f0582969c0c668271340,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x07ab4529e88349b0256ad6054e03ae9ae24cdfb1,0x25cbcfa16e43e58517f80d583087ea89241293e6,0.05
0x07c9856e6d0cda3b7d76d2954b61d5462c7cc2c3,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.11
0x07cbd4e4473140b6078aa987907aaff5e500b9f1,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x07cbd4e4473140b6078aa987907aaff5e500b9f1,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.060000000000000005
0x07cff6218249a2351a174bdc1e5b1632e8e4e673,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.05
0x080e285cbe0b28b06b2f803c59d0cbe541201ade,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x0839118d8a5bbdd693512124561f377290152692,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.060000000000000005
0x0871b8466c3eb7524bbae22e76a6851c421412ab,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597,0.005
0x0875325aae87ec35e6576ad1cb58c5a6f22e83e7,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x088290ed9a3accc018d952522fce9b8d8e4b2a5b,0x7dbf85de9ee45327c243bf74f1e85309cab12441,0.1559
0x088873f2bf4490e7676536c261d96f47c78df56b,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.060000000000000005
