,Voter,Votes,Voted
0,Cooopahtroopa,950,crabbylions
1,jessewldn,250,crabbylions
2,jillruthcarlson,3120,crabbylions
3,tonysheng,2050,crabbylions
4,ljxie,1035,crabbylions
5,tomscaria,10,crabbylions
6,crabbylions,50,crabbylions
7,bcw_13,10,crabbylions
8,Julia_R0senberg,40,crabbylions
9,prrfbeauty,1030,crabbylions
10,OrcaProtocol,800,crabbylions
11,parisrouz,500,crabbylions
12,bhpollack,50,crabbylions
13,rabbithole_gg,400,crabbylions
14,spencernoon,200,crabbylions
15,soona,250,crabbylions
16,vslavich,1060,crabbylions
17,ProsperDao,1040,crabbylions
18,bananabreds,3,crabbylions
19,basgras,1080,ElektraDAO
20,david_tomu,30,ElektraDAO
21,songcampdotband,1000,ElektraDAO
22,catalogworks,300,ElektraDAO
23,DLROWiAM,70,ElektraDAO
24,quiettheory,1140,ElektraDAO
25,mybellalogica,300,ElektraDAO
26,Jad_AE,500,ElektraDAO
27,markredito,1040,ElektraDAO
28,seedclubhq,600,ElektraDAO
29,matthewchaim,1190,ElektraDAO
30,jubrilade_,250,ElektraDAO
31,Iiterature,200,ElektraDAO
32,madebymetsa,50,ElektraDAO
33,zydetg,30,ElektraDAO
34,Tracy556677,30,ElektraDAO
35,Yekim_o,30,ElektraDAO
36,john_c_palmer,150,ElektraDAO
37,teendaze,300,ElektraDAO
38,peace_node,10,ElektraDAO
39,29942611Amy,40,ElektraDAO
40,goldenfiredo,130,ElektraDAO
41,tracydetg,50,ElektraDAO
42,DavidSchoof,3,ElektraDAO
43,rowanspencer__,300,ElektraDAO
44,ovinzen,30,ElektraDAO
45,lindslonadier,15,ElektraDAO
46,samdetg,20,ElektraDAO
47,topshelfrecords,30,ElektraDAO
48,stephenpdiesel,100,ElektraDAO
49,kevinduquette,10,ElektraDAO
50,erixink,3,ElektraDAO
51,colingaffney_,20,ElektraDAO
52,cyvattes,25,ElektraDAO
53,Cooopahtroopa,250,ElektraDAO
54,rara_social,777,ElektraDAO
55,lwsnbaker,50,ElektraDAO
56,AdrianRicard0,300,ElektraDAO
57,FWBtweets,69,ElektraDAO
58,alanxing,10,ElektraDAO
59,riversidemetal1,100,ElektraDAO
60,healmonster2015,10,ElektraDAO
61,web3brett,1050,ElektraDAO
62,ddwchen,230,BrennerSpear
63,BrennerSpear,10,BrennerSpear
64,jamiew,420,BrennerSpear
65,quasimatt,690,BrennerSpear
66,medhakothari,1000,BrennerSpear
67,benschecter,410,BrennerSpear
68,Obstropolos,430,BrennerSpear
69,divine_economy,200,BrennerSpear
70,Sim_Pop,500,BrennerSpear
71,chrismartz,100,BrennerSpear
72,patrickxrivera,100,BrennerSpear
73,_kabessa,50,BrennerSpear
74,jessewldn,250,BrennerSpear
75,JuliaLipton,300,BrennerSpear
76,ljin18,250,BrennerSpear
77,nicoglennon,1010,BrennerSpear
78,jaesmail,300,BrennerSpear
79,chewdone,5,BrennerSpear
80,daranda,100,BrennerSpear
81,mhdempsey,700,BrennerSpear
82,levkangin,5,BrennerSpear
83,WilsonCusack,500,BrennerSpear
84,gaby_goldberg,1020,BrennerSpear
85,strangechances,55,BrennerSpear
86,AlexMasmej,1120,BrennerSpear
87,selimimoberdorf,10,BrennerSpear
88,TiwariKratika22,5,BrennerSpear
89,matdryhurst,200,BrennerSpear
90,ol1ks,10,BrennerSpear
91,shingen_crypto,70,BrennerSpear
92,ecrivaine_k,100,BrennerSpear
93,enaraxr,1090,BrennerSpear
94,patrick74872225,1,BrennerSpear
95,philmohun,30,brtmoments
96,derekgtaylor,810,brtmoments
