,source,AU_value,CF_contribution,ED_purchaseValue,SP_value,Votes,mentions,twitter,betweenness,created,unique_contributed,votes_before,did_bid,total_contributions,did_contribute,did_create,actual_airdrop,betweenness_level
0,0x00000003cd3aa7e760877f03275621d2692f5841,0.0,1.0,0.0,0.0,0.0,0.0,mu806,0.0,0.0,0.06666666666666667,20,0,1.0,2.5,0.0,0.05666666666666667,low
1,0x000000064730640b7d670408d74280924883064f,0.0,0.0,0.0,0.0,10.0,50.0,coinfreakgr,1.627649229658575e-05,0.0,0.0,20,0,0.0,0.0,0.0,0.04000065105969187,low
2,0x000eeb1cc42130aa8934756848a7cd713d8df818,0.0,0.0,0.0,0.0,20.0,6.0,maxmioo,1.0632963962441717e-05,0.0,0.0,30,0,0.0,0.0,0.0,0.060000637977837744,low
3,0x0040daac32d83c78546ae36da42a496b28ab09e1,0.0,0.2,0.0,0.0,0.0,0.0,iamgaurangdesai,0.0,0.0,0.06666666666666667,10,0,0.2,2.5,0.0,0.023333333333333334,low
4,0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0.0,1.0,0.01,0.0,0.0,0.0,0,0.0001206623673214,0.0,0.13333333333333333,20,0,1.01,2.5,0.0,0.07367555546105933,low
5,0x0052886567af035eb95573f36ecee43ba6453fc3,0.0,0.0,0.0,0.0,0.0,10.0,hisamblake,1.5133694692889996e-05,0.0,0.0,10,0,0.0,0.0,0.0,0.02000030267389386,low
6,0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.06666666666666667,0,0,1.0,2.5,0.0,0.016666666666666666,low
7,0x007f2a96cbdf08bf1a58f1de3599cb67571a40ac,0.0,0.0,0.0,0.0,10.0,0.0,guitarplyr4u,0.0,0.0,0.0,20,0,0.0,0.0,0.0,0.04,low
8,0x008c84421da5527f462886cec43d2717b686a7e4,0.0,0.0,0.01,0.0,0.0,0.0,0,0.0,0.0,0.06666666666666667,0,0,0.01,2.5,0.0,0.0001666666666666667,low
9,0x0090720fed7fed66ed658118b7b3bb0189d3a495,0.0,0.0,0.0,0.0,30.0,90.0,sammybauch,0.0001820395553377,0.0,0.0,30,0,0.0,0.0,0.0,0.060010922373320265,low
10,0x0094cfba72efcafe4d45c257a713414b9502a348,0.0,6.01,0.0,0.0,0.0,0.0,0,0.0,0.0,0.06666666666666667,10,0,6.01,2.5,0.0,0.12016666666666666,low
