,source,twitter,actualAirdrop
0,0x00000003cd3aa7e760877f03275621d2692f5841,mu806,1.01
1,0x000000064730640b7d670408d74280924883064f,coinfreakgr,0.02
2,0x000eeb1cc42130aa8934756848a7cd713d8df818,maxmioo,0.03
3,0x0040daac32d83c78546ae36da42a496b28ab09e1,iamgaurangdesai,0.21000000000000002
4,0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0,1.01
5,0x0052886567af035eb95573f36ecee43ba6453fc3,hisamblake,0.01
6,0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,0,1.0
7,0x007f2a96cbdf08bf1a58f1de3599cb67571a40ac,guitarplyr4u,0.02
8,0x008c84421da5527f462886cec43d2717b686a7e4,0,0.01
9,0x0090720fed7fed66ed658118b7b3bb0189d3a495,sammybauch,0.03
10,0x0094cfba72efcafe4d45c257a713414b9502a348,0,6.01
11,0x00c62fb0ed991c19edffedf58136f42d188c3cf2,0,0.02
12,0x00de4b13153673bcae2616b67bf822500d325fc3,owocki,0.01
13,0x00eac8989b2dd513d61ad1faa277da3ad1f5bd2c,0,0.11
14,0x00ef62c8a5faa61264bb35eaf522eabfdbd9a762,cryptoingenious,0.02
15,0x00ff6b7d26407a46af2b631b4fa452a036d027e5,0,0.01
16,0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,loftradio_,0.13
17,0x011a991df27fb53637b7319d3a43e91b5da5b4e8,bryan_weis,0.03
18,0x01228d70a0980d85a103d9a753707104757f69bc,0,0.2
19,0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,0,0.5
20,0x013487daca45d3c6872c612415c3ab546f04eb32,_errrgh,0.02
21,0x01503dc708ce3c55017194847a07acb679d49f47,rattymouseman,0.05
22,0x0150b0ec3c7b72879fbfdbdd79c18a8368b194e0,thisisaito,4.33333
23,0x0154d25120ed20a516fe43991702e7463c5a6f6e,0,1.06
24,0x016c8780e5ccb32e5caa342a926794ce64d9c364,_anishagnihotri,3.08
25,0x016dc4519cb2a100abb7fb5721d8aaa8b4682651,krunal56968936,0.02
26,0x0182d2cd01604728771c47730ecdcaecebd61dbe,zaddy_kenny,0.02
27,0x01956b22171782e8d7c47d7dc7ae371c24aeee30,matthewmanasse,0.02
28,0x01a1a79e83e26a9de566f65a1acdf02dec449d26,0,0.3
29,0x01b7baa7baa864fef3cd1c7bc118cc97cedcb33f,gaby_goldberg,1.02
30,0x01c6248a9f95d59b4a30a2408f94d6e682094622,achenga11,0.02
31,0x01c9ea664b6d06bc4609cec8e75dd600221e1c36,0,0.1
32,0x01eacadf51ff60916157e32a58f640fe854e530f,cunninghamkaito,0.11
33,0x01ebb058f926f9ecedc096fbb82e19305868b95f,ricocunhalay,1.01
34,0x01eeb3301dc4feb99eee0bf7d7fc9083da751bbf,lord_dubious,0.02
35,0x02007be784519bfe5cc3c4ed47dfd3fb323e8fb9,1shupikov,0.02
36,0x02079daf95770a42f1c9da79a09428918b1bd489,0,1.0
37,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,machibigbrother,25.01
38,0x023df29a29797f379dc8d1046842a02a701855ca,me733bqr8rh7vuz,0.02
39,0x023f6a0a2311d3d7c94c67117d6be03100a56f08,max1mani,0.02
40,0x024d291757e06ddb4a456a8bdc0b2191fc0d6053,adamsjinom,0.02
41,0x024f36b02608a5129c61f8df54dc7286f9113dee,0,0.01
42,0x0251a655c2193b1d1435019dc833cfd8b2adff71,cafejerk,0.21000000000000002
43,0x025f34a94b7cb0e2749f190893f2c023ea2fc074,0,0.02
44,0x02762f46ca68aa4cc667043e8a00d0bfa1786765,la__cuen,0.01
45,0x0287ab3366d0391225acb5daf790742bcc036f4e,pawgsaveamerica,0.02
46,0x02970c31a80f7c4b022cd30c6f9e6c1c5b6e5ef4,aviexk,0.02
47,0x029ee42d381c9809493f34095235843625e46676,levin_phil,0.09
48,0x02a13938acd153c363dd8fb97bdc244aaba69eb1,sidibemi,0.02
49,0x02a6cb87a1f11406895ecf342c6c7d38cfef5cdf,jon_grinnell,1.01
50,0x02b7bedd462ee4b2cad803f19ac706fc2c2783aa,holdfurubang,0.09
51,0x02be804f3f2ce77bc981c544373d11a0668b6a31,0,0.15
52,0x02ef5b8ff910854cd67d1e37295c4a99f8b15d4a,cryptoshav,0.02
53,0x03369f6db2e2e77a2ef92b6295d6989cd68b8491,29942611amy,0.12
54,0x033813994ee06a6ddf7bdbebde4f0e2b372b2043,prophet54328537,0.02
55,0x033f5309d68fdc671bb1ed9174e4e1a96d5b9cb3,nnadozieukah,0.02
56,0x0342752d843f3e2972d99689fe1cb65530a723f2,0,1.0
57,0x03530167d82136f1b571fc5632d6c86479803803,casparv,0.06
58,0x0356e97b39e5166ee35c4af8d71ec4464d587740,delight_rn,0.02
59,0x036e3972f2b499699414fe9476d496ca2f8c824b,0,0.025
60,0x037bcda961e94ff350e587ef342b15f6acaca9c0,ceng_rktiwari,0.02
61,0x0384a8772cec5af3e6b6004e5f1c82d021f1be77,0,1.0
62,0x0389836416d1d46724f0913eeee42622950b20c1,anuhacks,1.01
63,0x038db6c62d0f072616e2b8db7d3d7cfc829f7f65,0,0.11
64,0x03942174b8e362d168e5c26d9b4339ab36d970b0,virtualelena,4.890000000000001
65,0x039545a4ce4fbd6058761eae26bfca30f0a8abe0,babalolaayotund,0.02
66,0x039cc99733cc677682519715839efb046f2b459b,0,0.1
67,0x039d09db5f8f0e6066f681c0d73a1dbe1be899ae,riniset45717250,0.02
68,0x03a82eae5f760275bd0491aacbfe3e56ad0e3e15,bizflaws,0.02
69,0x03b0800d862a3ce40164c7159c7b54a276955039,n3viden,0.02
70,0x03b79c0c1487a68aeabd9aa4ce779dad77855f52,sinahab,2.02
71,0x03c322db3f0d92ccdf6f8b6effd4031c94bed1ab,qaaj,1.01
72,0x03d1a11f5e98a02ecd31962dc787000451e0c1d2,agreenberg,0.011
73,0x03e9206f2a1234fefad2c0b07a86b1e0f5cb8d0d,cheriehu42,3.01
74,0x03f9bb84628bd284686819a5ba7ab5c0193145e6,chenfuhong1,0.02
75,0x03fad797b9c3ab7aa687d5e7b115c239ec75b0e9,10xray,1.01
76,0x040cd5dd3647896b82e63677872bc69fc61b79cb,anomahchristian,0.02
77,0x043696de6164718bb89ae2dbf4310f237f1deb50,darenmatsuoka,0.03
78,0x045c7ea70b3faec4b39b6f0c91e12cfd026acbfd,0,1.0
79,0x04615a9d61b516fb8911c1856f1ec40ba9a10938,stronghdkg,0.08
80,0x047539c024494821a2db758ee8e8054f63bba653,costco_cheng0,0.02
81,0x0482d6bf3b83470ee4ee87c20a98d38249138e1b,0,0.002
82,0x048dda49a50d7168749fe893ae1e2e37d448570e,jonewang7,0.02
83,0x049698295d31de54f94817d7ffd2f8a6ba1c2e58,btcusd250k,0.02
84,0x049808d5eaa90a2665b9703d2246dded34f1eb73,leopoldheg,0.12000000000000001
85,0x04a394d4c82161f49a3fbd3da31b8231797ef4b9,cramirez0426,0.02
86,0x04b01711e60e3a034841c1d2001f8c16ad266f91,tosho_love,0.02
87,0x04b6867a08e81f2378959ba4b4f41eb086acaa74,0,0.12
88,0x04bfb0034f24e424489f566f32d1f57647469f9e,neokry_,0.26
89,0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,jason17652409,0.62
90,0x04d25fb9b9ab1c310a20c74012f31a98d8a3fb60,kchain18,0.04
91,0x04dcf5f5991f575aac67f2068a1392385a3080cb,trent_vanepps,1.16
92,0x04e28930a2c3ba692fae79ab27f41fc397c9a33c,0,0.05
93,0x04f4f330e30123939a325d8b2c45e5d7531ed218,cheepo2109,0.03
94,0x050ac21c63ee3edddbe27bdaa7a87b0c9f5fd75b,devklink,0.02
95,0x0513a59f35980866f62f493bd35e8d9cf703ee69,dimpallathar,0.02
96,0x0540d73b2e2ff1763c1487efef4bad5f2cfcab1e,drumcrate,0.05
97,0x054754781cdaaf033f150602cefd30f65611dfeb,everett_muzzy,0.04
98,0x055018f0487dbf35f28894c4a2a2e35421b654a5,eedres,0.02
99,0x0569e70921c2296ac38355ef0fb4fa2a6327a5de,ekamma11,0.02
100,0x05758991abfde0a2f4404f2fe903116444369025,0,0.95
101,0x057657f5ed3da2cbf7999a0179de227265f41b39,0,0.36
102,0x057dc43af6187a931e78a56b3293912a5b42e5ec,hagoromo_crypto,0.03
103,0x057ee17c467852f4df0946fdcac72359d11eb555,yesichen_eth,0.11
104,0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c,willyogo,0.02
105,0x05e59eddc513917d0cf1a720b9d759eb509cfbde,bitflaws,0.02
106,0x060253f772bb050ad5439e5c980356df02cf0725,amamujee,0.02
107,0x0614e07756390441cb246c886917487840e74f7d,erixink,0.05
108,0x0627567fd4e52340fe8d67d116fa3732163e2d70,780juju,0.02
109,0x0653f05d22e5fe46f15639616e3bfd51c9060214,stephenpdiesel,1.365
110,0x065527da1aace6d943b7b02924f4e407daff3661,topshelfrecords,0.01
111,0x065a09a6fa96fed27defec9099b00e3e9af99c10,0,0.01
112,0x066a2edcc0b7278a2cf5bf2a040b4a54a41a9550,5ic4lpa7h,1.01
113,0x0675d0c774f64df282c3d866978bc7c491e8019a,0,1.0
114,0x067b9bbbbc42d2ab9b9ab6bb62646daf7f344a76,lay2000lbs,1.11
115,0x06c4865ab16c9c760622f19a313a2e637e2e66a2,benthamdaemon,0.015
116,0x06c8270541b2fb47a987b129a2eeea44287f70fe,trey_harnden,0.035
117,0x06e44e41db9add473aadf75c1c9eadf3cf5b74c9,0,0.00628318530718
118,0x06f77f6f447c02e05f63d7297137af05676ffbf4,qoded_q,0.02
119,0x0711063ce23599de7121f7312ea65b261bb634c9,stephan66284429,0.02
120,0x072213b5322bf1baa7a929f19c984b0642861d16,abuqasg,0.02
121,0x072938db4dd5c5f25b77d11fbecdb35a0f14e022,0,0.02
122,0x0738711f103185a92dc446ec4c1e2381787b1a46,cryptohunt0,0.02
123,0x075dceb6ffc8d9edacd7f449d00987d33b6ee138,0,1.0
124,0x078e88e465f2a430399e319d57543a7a76e97668,0,5.0
125,0x07a1f6fc89223c5ebd4e4ddae89ac97629856a0f,weishowlin,0.02
126,0x07ab4529e88349b0256ad6054e03ae9ae24cdfb1,penxman,0.060000000000000005
127,0x07b8eb605f02eda28a1b58c92892ca16bf9ff7c9,timbalabuch,0.02
128,0x07c9856e6d0cda3b7d76d2954b61d5462c7cc2c3,0,0.11
129,0x07cbd4e4473140b6078aa987907aaff5e500b9f1,0,1.57
130,0x07cc65ec4de72fdf7d2b6c39fd80c4ea4706215b,0,111.1
131,0x07cff6218249a2351a174bdc1e5b1632e8e4e673,0,0.05
132,0x07f01f82334feeb95b59c7775f3aea04dfe45be1,projectbebold,0.02
133,0x0813407596e7c63cd3958ff081ca078cb31ddbf1,kojiro629,0.02
134,0x08252e5a4050455003f243abae646bb23ae0811f,tunzii_,0.02
135,0x0839118d8a5bbdd693512124561f377290152692,0,0.06
136,0x083bdbaa68acd8cbfdbe5502ea8a27e9322e9bae,charlesakremer,0.51
137,0x084553460e4d37a66e296f7b249d42c279763707,mibella21087257,0.02
138,0x089ba0bc08dcf2d52d3aa7edd9a4ac960faabe9e,brodyhughes_,0.03
139,0x08cbf077180d45868cc04d8c053ec37025545933,staringispolite,0.16
140,0x08ceb8bba685ee708c9c4c65576837cbe19b9dea,wpeaster,0.25
141,0x08d816526bdc9d077dd685bd9fa49f58a5ab8e48,0xkiwi_,0.22
