,source,AU_value,CF_contribution,ED_purchaseValue,SP_value,Votes,mentions,betweenness,created,unique_contributed,votes_before,did_bid,total_contributions,did_contribute,did_create,actual_airdrop,betweenness_level
0,0x00000003cd3aa7e760877f03275621d2692f5841,0.0,1.0,0.0,0.0,0.0,19.0,0.0001279578586219,0.0,0.1111111111111111,20,0,1.0,2,0,0.04276248873640358,low
1,0x000000064730640b7d670408d74280924883064f,0.0,0.0,0.0,0.0,10.0,50.0,1.9493987548460384e-05,0.0,0.0,20,0,0.0,0,0,0.02003898797509692,low
2,0x000eeb1cc42130aa8934756848a7cd713d8df818,0.0,0.0,0.0,0.0,20.0,6.0,1.1472136107952287e-05,0.0,0.0,30,0,0.0,0,0,0.03003441640832386,low
3,0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7,0.0,0.0,0.0,0.0,0.0,4.0,8.458889463152558e-07,0.0,0.0,10,0,0.0,0,0,0.010000845888946315,low
4,0x0040daac32d83c78546ae36da42a496b28ab09e1,0.0,0.2,0.0,0.0,0.0,53.0,0.000611926794332,0.0,0.1111111111111111,10,0,0.2,2,0,0.015328338702924,low
5,0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0.0,1.0,0.01,0.0,0.0,0.0,8.56743941006212e-05,0.0,0.1111111111111111,20,0,1.01,2,0,0.04280808465051597,low
6,0x0052886567af035eb95573f36ecee43ba6453fc3,0.0,0.0,0.0,0.0,0.0,10.0,9.5782905343399e-06,0.0,0.0,10,0,0.0,0,0,0.01000957829053434,low
7,0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0,0,1.0,2,0,0.02222222222222222,low
8,0x00649c890fb925ca68d2f7a78d62e932b726ec27,0.0,0.0,0.0,0.0,0.0,17.0,1.1392428216036332e-06,0.0,0.0,10,0,0.0,0,0,0.010001139242821604,low
9,0x0064dd1840a0e5284280244f2da76aef484c6cd3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10,0,0.0,0,0,0.01,low
10,0x006b082e8a781fdbaf499fd11aacfcebaf83d382,0.0,0.0,0.0,0.0,0.0,2.0,3.400803783517633e-07,0.0,0.0,10,0,0.0,0,0,0.010000340080378351,low
11,0x007f2a96cbdf08bf1a58f1de3599cb67571a40ac,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20,0,0.0,0,0,0.02,low
12,0x008c84421da5527f462886cec43d2717b686a7e4,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.01,2,0,0.0,low
13,0x0090720fed7fed66ed658118b7b3bb0189d3a495,0.0,0.0,0.0,0.0,30.0,90.0,0.0002048588640599,0.0,0.0,30,0,0.0,0,0,0.0306145765921797,low
14,0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0.0,0.0,0.0,0.0,0.0,24.0,8.128337939437146e-05,0.0,0.0,10,0,0.0,0,0,0.010081283379394372,low
15,0x0093bd7c0444beaeb3743cec4aa5935758883dc6,0.0,0.0,0.0,0.0,0.0,6.0,4.142729478397667e-07,0.0,0.0,10,0,0.0,0,0,0.01000041427294784,low
16,0x0094cfba72efcafe4d45c257a713414b9502a348,0.0,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,10,0,6.01,2,0,0.14355555555555555,low
17,0x0095e17d7943f0a89c4dddb2dc0fc57e33401f0f,0.0,0.0,0.0,0.0,0.0,9.0,8.316043015243583e-06,0.0,0.0,10,0,0.0,0,0,0.010008316043015244,low
18,0x00af41c6ee0b153e973004529db12e35a65748f6,0.0,0.0,0.0,0.0,0.0,4.0,3.303709743125593e-07,0.0,0.0,10,0,0.0,0,0,0.010000330370974314,low
19,0x00b043f0eeb912633715f3b01af922cc63b095a7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0,1,0.2,2,0,0.0044444444444444444,low
20,0x00c62fb0ed991c19edffedf58136f42d188c3cf2,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0,0,0.02,2,0,0.00044444444444444447,low
21,0x00ce0bcc79f4097e8d3841bf3e6aadf7e4a1a136,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10,0,0.0,0,0,0.01,low
22,0x00de4b13153673bcae2616b67bf822500d325fc3,0.0,0.0,0.0,0.0,0.0,228.0,0.0257893404407701,0.0,0.0,1000,0,0.0,0,0,3.57893404407701,low
23,0x00eac8989b2dd513d61ad1faa277da3ad1f5bd2c,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.11,2,0,0.0,low
24,0x00ef62c8a5faa61264bb35eaf522eabfdbd9a762,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20,0,0.0,0,0,0.02,low
25,0x00ff6b7d26407a46af2b631b4fa452a036d027e5,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0,0,0.01,2,0,0.00022222222222222223,low
26,0x0101e91399519511ed99ba7f08bfb37b8595bf35,0.0,0.0,0.0,0.0,0.0,11.0,1.7471322575990937e-06,0.0,0.0,10,0,0.0,0,0,0.010001747132257599,low
