source,target,Votes,CF_contribution,ED_purchaseValue,SP_value,AU_value,mentions
0x00000000b9d747ef42d224e572a5b7e6488929c8,0xac06cf7b326e58111956fd0dc30705c700c43a64,10.0,,,,,
0x00000003cd3aa7e760877f03275621d2692f5841,0x016c8780e5ccb32e5caa342a926794ce64d9c364,,,,,,1.0
0x00000003cd3aa7e760877f03275621d2692f5841,0x4b4df3b4c0a893c7beefe72e1b8dae7654ae6f47,,,,,,3.0
0x00000003cd3aa7e760877f03275621d2692f5841,0x65946ffb5fabe6d4d02f826699204336b42d436f,10.0,,,,,
0x00000003cd3aa7e760877f03275621d2692f5841,0x7b977a4bc02f87f7ac9a2afed8d71f87dbe2ac39,,,,,,1.0
0x00000003cd3aa7e760877f03275621d2692f5841,0x84da37133a088fbf4e21d80aec2cc260b52ea116,,,,,,11.0
0x00000003cd3aa7e760877f03275621d2692f5841,0xe16c0e1bf3b75f67e83c9e47b9c0eb8bf1b99ccd,,,,,,2.0
0x00000003cd3aa7e760877f03275621d2692f5841,0xf9825d78233b66edd28cc2bfb4d6c7c3ded61b21,,,,,,1.0
0x00000003cd3aa7e760877f03275621d2692f5841,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,,1.0,,,,
0x000000064730640b7d670408d74280924883064f,0x04dcf5f5991f575aac67f2068a1392385a3080cb,,,,,,3.0
0x000000064730640b7d670408d74280924883064f,0x21532d4267648191bef7a33c813c43cf90a6fa78,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0x648aa14e4424e0825a5ce739c8c68610e143fb79,,,,,,10.0
0x000000064730640b7d670408d74280924883064f,0x7ed52863829ab99354f3a0503a622e82acd5f7d3,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0x87885aaeeded51c7e3858a782644f5d89759f245,,,,,,2.0
0x000000064730640b7d670408d74280924883064f,0x9c159121ceebf937e9bad98fd0c895d7f6038bd4,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0x9e64b47bbdb9c1f7b599f11987b84c416c0c4110,10.0,,,,,
0x000000064730640b7d670408d74280924883064f,0xb2ebc9b3a788afb1e942ed65b59e9e49a1ee500d,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0xbc60aa031a9f34bd7992c99eae5e2c4dd1b5dbc3,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0xe158dcc1779fce4c48c8d3155ec35fae7c52d093,,,,,,2.0
0x000000064730640b7d670408d74280924883064f,0xe7e84204b7e180454e5c40d0e04d346214a83f85,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0xebdb626c95a25f4e304336b1adcad0521a1bdca1,,,,,,26.0
0x000000064730640b7d670408d74280924883064f,0xf83775c95a00612d4cac5053dd484ffa81bae0ad,,,,,,1.0
0x000ab43e658935ba39504a1424b01756c1e9644c,0x467aadc88d99b4e978a8d3d4f0a9017dcaecaabf,10.0,,,,,
0x000ab43e658935ba39504a1424b01756c1e9644c,0x625d6405dcac9c82f4b681a131d9182115448f75,20.0,,,,,
0x000eeb1cc42130aa8934756848a7cd713d8df818,0x207053a23d86fe3697dc073461f293894a931a72,,,,,,3.0
0x000eeb1cc42130aa8934756848a7cd713d8df818,0x6875467e0714400a86504970d1b65a6f1be26856,5.0,,,,,1.0
0x000eeb1cc42130aa8934756848a7cd713d8df818,0xa9f19772051f88deb407d5431be8e0f608f9916a,,,,,,2.0
0x000eeb1cc42130aa8934756848a7cd713d8df818,0xf5aa3ceeb7219809bf9259ac5a0c29e32a26936e,15.0,,,,,
0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7,0x6f1b12a415e035eebdc8559130ea8bdb96add48c,,,,,,1.0
0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7,0xc33ed933f17c6860451cc9d1c4f2f82e602036f7,,,,,,2.0
0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7,0xe71efd5865a42cb0f23146dc8e056dba4e67e9b7,,,,,,1.0
0x0040daac32d83c78546ae36da42a496b28ab09e1,0x37648f9522f3637bd38f5a033b9a9cd7f094451b,,,,,,2.0
0x0040daac32d83c78546ae36da42a496b28ab09e1,0x37ef5b0a412cd864e368c53f77a0de4ac64b93f1,,,,,,20.0
