,source,AU_value,CF_contribution,ED_purchaseValue,SP_value,Votes,mentions,twitter,betweenness
0,0x00000003cd3aa7e760877f03275621d2692f5841,0.0,1.0,0.0,0.0,0.0,0.0,mu806,0.0
1,0x000000064730640b7d670408d74280924883064f,0.0,0.0,0.0,0.0,10.0,50.0,coinfreakgr,1.627649229658575e-05
2,0x000eeb1cc42130aa8934756848a7cd713d8df818,0.0,0.0,0.0,0.0,20.0,6.0,maxmioo,1.0632963962441715e-05
3,0x0040daac32d83c78546ae36da42a496b28ab09e1,0.0,0.2,0.0,0.0,0.0,0.0,iamgaurangdesai,0.0
4,0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0.0,1.0,0.01,0.0,0.0,0.0,,0.00012066236732141061
5,0x0052886567af035eb95573f36ecee43ba6453fc3,0.0,0.0,0.0,0.0,0.0,10.0,hisamblake,1.5133694692889996e-05
6,0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,0.0,1.0,0.0,0.0,0.0,0.0,,0.0
7,0x007f2a96cbdf08bf1a58f1de3599cb67571a40ac,0.0,0.0,0.0,0.0,10.0,0.0,guitarplyr4u,0.0
8,0x008c84421da5527f462886cec43d2717b686a7e4,0.0,0.0,0.01,0.0,0.0,0.0,,0.0
9,0x0090720fed7fed66ed658118b7b3bb0189d3a495,0.0,0.0,0.0,0.0,30.0,90.0,sammybauch,0.00018203955533777248
10,0x0094cfba72efcafe4d45c257a713414b9502a348,0.0,6.01,0.0,0.0,0.0,0.0,,0.0
11,0x00b043f0eeb912633715f3b01af922cc63b095a7,0.2,0.0,0.0,0.0,0.0,0.0,,0.0
12,0x00c62fb0ed991c19edffedf58136f42d188c3cf2,0.0,0.02,0.0,0.0,0.0,0.0,,0.0
13,0x00de4b13153673bcae2616b67bf822500d325fc3,0.0,0.0,0.0,0.0,0.0,228.0,owocki,0.022837591261503087
14,0x00eac8989b2dd513d61ad1faa277da3ad1f5bd2c,0.0,0.0,0.11,0.0,0.0,0.0,,0.0
