,source,AU_value,CF_contribution,ED_purchaseValue,SP_value,Votes,mentions,twitter,betweenness,percentage_votes_used
0,0x00000000b9d747ef42d224e572a5b7e6488929c8,0.0,0.0,0.0,0.0,10.0,5.0,bax1337,0.0,0.3333333333333333
1,0x00000003cd3aa7e760877f03275621d2692f5841,0.0,1.0,0.0,0.0,10.0,0.0,mu806,0.0,0.2
2,0x000000064730640b7d670408d74280924883064f,0.0,0.0,0.0,0.0,10.0,30.0,coinfreakgr,0.0,0.0769230769230769
3,0x000ab43e658935ba39504a1424b01756c1e9644c,0.0,0.0,0.0,0.0,60.0,0.0,ovinzen,0.0,0.8571428571428571
4,0x000cbf0bec88214aab15bc1fa40d3c30b3ca97a9,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0
5,0x000eeb1cc42130aa8934756848a7cd713d8df818,0.0,0.0,0.0,0.0,20.0,6.0,maxmioo,0.00039859851765131836,0.12
6,0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7,0.0,0.0,0.0,0.0,0.0,2.0,wolfehr,0.0,0.0
7,0x0040daac32d83c78546ae36da42a496b28ab09e1,0.0,0.1,0.0,0.0,0.0,63.0,iamgaurangdesai,0.0002665817002646475,0.0
8,0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0.0,1.0,0.01,0.0,10.0,24.0,qiqileyuan,1.1582115869571941e-07,0.2
9,0x0052886567af035eb95573f36ecee43ba6453fc3,0.0,0.0,0.0,0.0,0.0,6.0,hisamblake,0.0,0.0
10,0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0
11,0x00645dd21310882cc32399abcb54e0a05b3b5d1d,0.0,0.0,0.1559,0.0,0.0,0.0,,0.0,0.0
12,0x00649c890fb925ca68d2f7a78d62e932b726ec27,0.0,0.0,0.0,0.0,0.0,8.0,arthursmenezess,0.0,0.0
13,0x0064dd1840a0e5284280244f2da76aef484c6cd3,0.0,0.0,0.0,0.0,0.0,6.0,moonsoo68242359,0.0,0.0
14,0x0067eec7ad35e72613d760e917890d1b7e876e4e,0.0,0.0,0.4677,0.0,0.0,0.0,,0.0,0.0
15,0x006b082e8a781fdbaf499fd11aacfcebaf83d382,0.0,0.0,0.0,0.0,0.0,3.0,yimbyarts,0.0,0.0
16,0x007f2a96cbdf08bf1a58f1de3599cb67571a40ac,0.0,0.0,0.0,0.0,10.0,0.0,guitarplyr4u,0.0,0.0384615384615384
17,0x008c84421da5527f462886cec43d2717b686a7e4,0.0,0.69,0.16590000000000002,0.0,0.0,0.0,,0.0,0.0
18,0x0090720fed7fed66ed658118b7b3bb0189d3a495,0.0,0.0,0.0,0.0,30.0,22.0,sammybauch,0.0,0.1666666666666666
19,0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0.0,0.0,0.0,0.0,0.0,10.0,geoburke,0.0,0.0
20,0x0093bd7c0444beaeb3743cec4aa5935758883dc6,0.0,0.0,0.0,0.0,0.0,4.0,michaelkuhlmann,0.0,0.0
21,0x0094cfba72efcafe4d45c257a713414b9502a348,0.0,6.01,0.0,0.0,0.0,3.0,habsdj1,0.0,0.0
22,0x0095e17d7943f0a89c4dddb2dc0fc57e33401f0f,0.0,0.0,0.0,0.0,0.0,8.0,dovs_,0.0,0.0
23,0x00af41c6ee0b153e973004529db12e35a65748f6,0.0,0.0,0.0,0.0,0.0,3.0,_themitch_,0.0,0.0
24,0x00b043f0eeb912633715f3b01af922cc63b095a7,0.2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
25,0x00c62fb0ed991c19edffedf58136f42d188c3cf2,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,0.0
26,0x00ce0bcc79f4097e8d3841bf3e6aadf7e4a1a136,0.0,0.0,0.0,0.0,0.0,6.0,vato_dex,0.0,0.0
27,0x00d29fbc981d05edba69bc0909e391a132271357,0.0,0.0,0.1559,0.0,0.0,0.0,,0.0,0.0
28,0x00de4b13153673bcae2616b67bf822500d325fc3,0.0,0.0,0.0,0.0,1000.0,261.0,owocki,0.039310820865861226,0.2475247524752475
29,0x00eac8989b2dd513d61ad1faa277da3ad1f5bd2c,0.0,0.0,0.12,0.0,0.0,0.0,,0.0,0.0
30,0x00ef62c8a5faa61264bb35eaf522eabfdbd9a762,0.0,0.0,0.0,0.0,10.0,0.0,cryptoingenious,0.0,0.0384615384615384
31,0x00f5fcb6ba6fc28e95ab9572f432d452292b66f4,0.0,0.0,0.1559,0.0,0.0,0.0,,0.0,0.0
32,0x00ff6b7d26407a46af2b631b4fa452a036d027e5,0.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.0
33,0x010136eb21d63520c53e4218d0220bbac8236b2b,0.0,0.0,0.0,0.0,0.0,27.0,charlesworthjc,0.0002658674697860239,0.0
34,0x0101e91399519511ed99ba7f08bfb37b8595bf35,0.0,0.0,0.0,0.0,0.0,9.0,mwdwrd,0.0,0.0
35,0x0103a4966daba5a947df52b0b892d8b3fdef5a4f,0.0,0.0,0.0,0.0,0.0,4.0,salmon_dealer,0.0,0.0
36,0x010af29077a8520cc3f55be2031d7e37808ba137,0.0,0.0,0.1559,0.0,0.0,0.0,,0.0,0.0
37,0x010d54e939da0e3784c590f119fcf6422b37df33,0.0,0.25,0.0,0.0,0.0,0.0,,0.0,0.0
38,0x01154a19dc8cb144189bbb21513468849c838356,0.0,0.205,0.0,0.0,0.0,0.0,,0.0,0.0
39,0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0.0,0.0,0.0,0.0,1530.0,13.0,loftradio_,2.5094584384072537e-07,0.9272727272727272
40,0x011a991df27fb53637b7319d3a43e91b5da5b4e8,0.0,0.02,0.0,0.0,0.0,0.0,bryan_weis,0.0,0.0
41,0x011bd07bcf4dd6f08d7f46c4e1c993d637b361ff,0.0,0.0,0.0,0.0,0.0,19.0,evomoore,0.0,0.0
42,0x01228d70a0980d85a103d9a753707104757f69bc,0.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.0
43,0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0
44,0x013487daca45d3c6872c612415c3ab546f04eb32,0.0,0.0,0.0,0.0,10.0,0.0,_errrgh,0.0,0.0526315789473684
45,0x01503dc708ce3c55017194847a07acb679d49f47,0.0,0.0,0.0,0.0,280.0,0.0,rattymouseman,0.0,0.4666666666666667
46,0x0150b0ec3c7b72879fbfdbdd79c18a8368b194e0,3.33333,0.0,0.0,0.0,0.0,0.0,thisisaito,0.0,0.0
47,0x0154d25120ed20a516fe43991702e7463c5a6f6e,0.0,2.01,0.2159,0.0,0.0,0.0,,0.0,0.0
48,0x0159dfc1c745dc4b10d42d2592335120f1f2d778,0.0,0.0,0.1559,0.0,0.0,0.0,,0.0,0.0
49,0x0161d1cc10116bb2a073a0c293d5e4f1a97a00b6,0.0,0.0,0.0,0.0,0.0,6.0,nicololazzarinn,0.0,0.0
50,0x0165dcff922f372e3ef7f0d0c0816ae79a4dbcca,0.0,0.0,0.01,0.0,0.0,0.0,foldingrabbit,0.0,0.0
51,0x016c8780e5ccb32e5caa342a926794ce64d9c364,0.0,1.0,0.005,0.015,7210.0,39.0,_anishagnihotri,0.0005145548010321827,0.4934976043805613
